Restaurant_Name,Ranking,Price_Range,Cuisine_Type,Menu Items
Gaffel Haus Berlin an der Friedrichstraße,4.6,30 € ou moins,Allemande,[]
Cecconi's Berlin,4.7,De 31 € à 50 €,Italienne,[]
Layla by Meir Adoni,4.5,De 31 € à 50 €,Méditerranée,[]
Peter Pane Berlin-Europaplatz,4.4,30 € ou moins,Burgers,"['still', 'hier', 'dream', 'frischem', 'cuba', 'fruchtbetont', 'mhren', 'closheim', 'junger', 'klassikburger', 'meister', 'rstzwiebeln', 'und', 'spirituosen', 'zubereitet', 'macaroni', 'der', 'spinat', 'viele', 'klaus', 'haselnusscremekugeln', 'leckereien', 'american', 'aromen', 'gin', 'cheddarjalapeocreme', 'patrn', 'beer', 'spritz', 'gerstete', 'grauburgunder', 'laktosefreier', 'krautsalat', 'trffelfee', 'feurige', 'cappuccino', 'beilage', 'spare', 'konzentrierter', 'daniels', 'bombay', 'gegrillte', 'in', 'blossom', 'sapphire', 'niceburger', 'vitaminreiche', 'minztee', 'kannst', 'sauer', 'hollnder', 'peterchen', 'trffelfritten', 'schokoladensauce', 'frohnatur', 'auf', 'absolut', 'me', 'basil', 'baden', 'hook', 'allein', 'hauswein', 'on', 'mangoingwer', 'beefbratling', 'feinherbe', 'saftigem', 'zwiebelringe', 'yuzu', 'mehrkorn', 'pfeffer', 'irish', 'heigetrnk', 'neck', 'dir', 'unser', 'brombeeren', 'gartensalat', 'rohrzucker', 'spirituose', 'no', 'fliegender', 'soda', 'sdsee', 'beerensauce', 'schokolinsen', 'hafercrunch', 'uhr', 'minigummibrchen', 'schneider', 'cheddarcheesesauce', 'iced', 'granatapfelhimbeervinaigrette', 'twist', 'im', 'geheimnis', 'rheinhessen', 'molli', 'bier', 'feierabendmen', 'l', 'cherrytomaten', 'geschmackserlebnis', 'himbeergeist', 'milch', 'pulled', 'ihren', 'eistee', 'sind', 'rindfleischburger', 'orange', 'microgreens', 'hefeweizen', 'zitrone', 'cremig', 'wahl', 'eichsttter', 'mozzarella', 'mixe', 'falafelerbsenbratling', 'stormy', 'joghurt', 'getrffelte', 'bionda', 'samova', 'filetstreifen', 'feiertags', 'lieblich', 'caipirinha', 'brombeerlikr', 'parmesan', 'ray', 'colada', 'horses', 'jeden', 'jgermeister', 'mezzo', 'minze', 'frischer', 'ale', 'tglich', 'klassik', 'chickenbratling', 'mineralwasser', 'havana', 'schmeckt', 'rind', 'blaubeeren', 'bestellen', 'safari', 'trffell', 'planted', 'g', 'feenflgel', 'veg', 'cremiger', 'trifft', 'parmesancreme', 'landhhnchen', 'aos', 'hollandaise', 'orangenlikr', 'auer', 'naturtrbes', 'blanc', 'frozen', 'teesorten', 'gentleman', 'martini', 'trocken', 'ksespeck', 'zu', 'angus', 'dreiksehoch', 'schokocrunch', 'fruchtsaft', 'weissweinschorle', 'basilikummayo', 'monday', 'dafr', 'crotons', 'hirtenwrfel', 'einzigartigen', 'zickensalat', 'moskito', 'gegrilltes', 'rindlfeisch', 'bleiben', 'coffee', 'lover', 'original', 'olivenbalsamicovinaigrette', 'lemon', 'tomaten', 'melonemaracujalimonade', 'zartbitter', 'haben', 'sauvignon', 'leichter', 'tanqueray', 'sour', 'greenoatbratling', 'roibuschtee', 'heier', 'grapefruit', 'ein', 'sirup', 'verheimlichen', 'abendmen', 'upgrade', 'je', 'ist', 'skartoffelfritten', 'kokosnuss', 'frangelico', 'temple', 'vom', 'freude', 'getrnk', 'hausgemachter', 'vodka', 'trffelcreme', 'vegane', 'eine', 'wildberry', 'fanta', 'coconut', 'vegetarischen', 'cheese', 'nuggets', 'hugo', 'wahlweise', 'grenadine', 'coca', 'prosecco', 'men', 'die', 'peter', 'kleiner', 'aperol', 'sex', 'ipanema', 'frischen', 'dry', 'whle', 'one', 'cocacola', 'vanillechocolatechipeiscreme', 'erntedank', 'mandel', 'einem', 'weckglas', 'shot', 'zum', 'karamell', 'kleine', 'getrockneter', 'heisse', 'i', 'hauseigener', 'frchte', 'nach', 'nacho', 'pane', 'pina', 'deinen', 'keine', 'tonic', 'schmetterlinge', 'beerenhunger', 'lieblingsbrot', 'hei', 'farmhouse', 'knusprig', 'longdrink', 'mix', 'einer', 'caesars', 'basilikum', 'three', 'alkoholfreie', 'wrzig', 'light', 'dressing', 'steakpfeffer', 'mai', 'liebsten', 'purer', 'chee', 'nektar', 'werden', 'vanilia', 'kse', 'zero', 'pils', 'wildkruter', 'brotsorte', 'parmesandressing', 'macho', 'gefllt', 'paloma', 'mineralischer', 'kruterbursche', 'beach', 'knnen', 'maracuja', 'ingwertee', 'cosmopolitan', 'zucker', 'liebling', 'peters', 'sunrise', 'montag', 'kiefer', 'saftiger', 'freitags', 'limettezitronengras', 'haferdrink', 'slich', 'angostura', 'cheddar', 'alster', 'rainbow', 'null', 'kirschkompott', 'extra', 'granini', 'gste', 'meatless', 'pfirsichlikr', 'sugar', 'veganem', 'frisch', 'feigenchutney', 'eisgenuss', 'apple', 'black', 'landmilchkse', 'httenzauber', 'macchiato', 'whisky', 'raspberry', 'dessertvariation', 'himbeeren', 'mineralitt', 'schorlen', 'dein', 'knusprige', 'tee', 'cuve', 'geschmack', 'diehl', 'himbeer', 'salaten', 'holli', 'aperitifs', 'qba', 'hausgemachten', 'fruchtig', 'samstags', 'sorten', 'sonnengetrocknete', 'oder', 'rote', 'cents', 'warmes', 'sauerteig', 'apfelrhabarber', 'mule', 'carta', 'alle', 'spielwiese', 'mangochutney', 'guacamole', 'individueller', 'burgerpreis', 'mojito', 'exotischen', 'speisekarte', 'golden', 'httenfreude', 'kleinen', 'grntee', 'schokoladenkchlein', 'klassikbrioche', 'fleisch', 'schwarztee', 'lillet', 'beerig', 'waldbeerevanille', 'pfalz', 'santo', 'auswahl', 'genuss', 'ziegenkse', 'blanca', 'kebab', 'bestes', 'pfirsichorange', 'saltedcaramelsauce', 'il', 'erhltich', 'mehr', 'all', 'scheibe', 'minzeholunderblte', 'rings', 'ab', 'whitesmokedsauce', 'begeistert', 'feige', 'fizz', 'highball', 'saucen', 'rucola', 'traditionell', 'hhnchen', 'gehobelter', 'beerenmix', 'krutertee', 'wild', 'pfaffmann', 'bbqbeef', 'findest', 'sprite', 'chocalot', 'minibun', 'kruterremoulade', 'mit', 'aufpreis', 'cl', 'burger', 'herrlich', 'highballs', 'rassig', 'libre', 'fruchtigkeit', 'traumfnger', 'warme', 'sir', 'schokoladenkern', 'lebensfreude', 'momente', 'peach', 'garantiert', 'weikohl', 'backhhnchenstreifen', 'feinen', 'veganes', 'berflieger', 'bacardi', 'aber', 'fritten', 'tafelwasser', 'rosmarin', 'lieblingsburger', 'meerrettich', 'plantedkebab', 'rsti', 'tropical', 'knoblauchmayo', 'du', 'eis', 'razz', 'ketel', 'gewrzgurken', 'coleslaw', 'veganen', 'water', 'vegan', 'zwei', 'inklusive', 'caf', 'eigenen', 'darjeeling', 'zitronenzeste', 'frittenmix', 'deine', 'kokos', 'schweppes', 'wassermelone', 'jahre', 'getrocknete', 'luft', 'sprudel', 'cocktail', 'ssse', 'red', 'holunder', 'pause', 'ssskartoffelfritten', 'mittagsmen', 'club', 'cheesebratling', 'johannisbeere', 'separate', 'vitamalz', 'gemischter', 'leckere', 'animierend', 'deutschland', 'ananas', 'crunchige', 'tai', 'rindfleisch', 'berry', 'cornflakespanade', 'weizen', 'hausgemacht', 'taste', 'wunsch', 'limonade', 'lollo', 'sptburgunder', 'alkoholfreies', 'onions', 'traumzeit', 'jalapeos', 'amaretto', 'weissburgunder', 'is', 'maid', 'onion', 'nut', 'scavi', 'white', 'pink', 'licor', 'passion', 'wir', 'kellerbier', 'cocktails', 'nachos', 'x', 'holde', 'mandeln', 'mglich', 'nur', 'trockener', 'iii', 'electric', 'bacon', 'herbal', 'guacamoly', 'alkoholfreier', 'berliner', 'freunde', 'gebackene', 'snaggets', 'premium', 'durstlscher', 'moskow', 'rose', 'hendricks', 'frchtetee', 'heissgetrnk', 'duft', 'ohne', 'herb', 'nicht', 'fr', 'basilikumsoda', 'granatapfelkerne', 'federleichtmayo', 'burgersauce', 'canario', 'doppelburger', 'vanilleeis', 'vollmundig', 'limette', 'jack', 'auch', 'doppelter', 'sauce', 'hausbrote', 'rubertochter', 'anette', 'sweet', 'goldlocke', 'rezepturen', 'bauch', 'pfund', 'lagerfeuer', 'kugel', 'tomato', 'hauseigenem', 'driver', 'karamellisierte', 'von', 'kartoffelchips', 'vollmilch', 'birne', 'radler', 'donnerstags', 'feiner', 'weingut', 'vegetarisch', 'alkoholfrei', 'baileys', 'fruchtnoten', 'heie', 'eistees', 'gurke', 'gern', 'gebrhtem', 'minzemango', 'gratis', 'flssigem', 'nusskuss', 'legende', 'kindermen', 'pur', 'nahe', 'doppelt', 'cherry', 'vanille', 'schuss', 'mittagsfritten', 'indian', 'negra', 'pikanter', 'skartoffelamaranthbratling', 'frische', 'kahlua', 'avocado', 'espresso', 'zwiebeln', 'you', 'wanna', 'bis', 'leichte', 's', 'cranberry', 'baby', 'the', 'premiumcocktails', 'margarita', 'hhnchenbrust', 'schokoladenkuchen', 'ginger', 'held', 'montags', 'walnusskerne', 'liebeslied', 'gewrzgurke', 'cola', 'forget', 'watermelon', 'chilicheese', 'old', 'fein', 'monkey', 'beef', 'hahn', 'schatzinsel', 'erhltlich', 'silver', 'ziege', 'bitter', 'latte', 'diesel', 'bramble', 'geheimrezept', 'salat', 'tequila', 'cachaa', 'holzfller', 'teilen', 'sesamdressing', 'palmlfrei', 'getrnke', 'verschiedene', 'beschwingt', 'crema', 'waldbeeren', 'hhnchenburgern', 'schokolade', 'a', 'unsere', 'pinienkerne', 'sambuca', 'aus', 'dark', 'champignons', 'bbqsauce']"
Amigo Cohen,4.4,30 € ou moins,Mexicaine,[]
Spindler Restaurant,4.6,De 31 € à 50 €,Française contemporaine,[]
Brasserie Le Paris,4.5,De 31 € à 50 €,Française,[]
Hugo & Notte,4.4,30 € ou moins,Française,[]
Nu,4.5,De 31 € à 50 €,Pan-Asiatique,"['wunsch', 'whlen', 'lauchzwiebeln', 'lavazza', 'sein', 'hhnchenfleisch', 'nusauce', 'wok', 'und', 'mariniert', 'erdnssen', 'angebot', 'wir', 'mailadresse', 'als', 'currykokosmilch', 'grner', 'der', 'empfehlung', 'nua', 'asiat', 'deng', 'gai', 'verbunden', 'sprechen', 'yang', 'per', 'an', 'oder', 'gegrilltes', 'geschmorter', 'erdnusskokossauce', 'tomaten', 'zutatenbeilagen', 'ihnen', 'kann', 'erhalten', 'wokgemse', 'servieren', 'mehrkosten', 'in', 'gebackene', 'pad', 'eiernudeln', 'fr', 'aus', 'lachsfilet', 'reisbandnudeln', 'nehmen', 'dem', 'chiliingwerlimettendressing', 'auf', 'krbis', 'tamarindsauce', 'auch', 'doppelter', 'hausgemachter', 'erdnsse', 'kross', 'gebratenes', 'tofu', 'cafe', 'thaibasilikum', 'von', 'glasnudelsuppe', 'dip', 'erdnusstopping', 'krutern', 'serviert', 'unseren', 'thr', 'unser', 'die', 'gemse', 'kiew', 'vorspeise', 'koriander', 'gebratene', 'eingelegtem', 'woche', 'tokyo', 'suppe', 'mit', 'pla', 'pak', 'uhr', 'thai', 'zum', 'wochenanfang', 'do', 'dazu', 'mail', 'pikanter', 'nu', 'uns', 'nach', 'verteiler', 'risong', 'geng', 'espresso', 'duftreis', 'to', 'wan', 'bis', 'gerne', 'ssaurer', 'pet', 'roter', 'hhnchenbrust', 'soi', 'nderungen', 'eierblumensuppe', 'rad', 'gerichte', 'thaimaltwhiskeychilisauce', 'essen', 'gelber', 'ped', 'bi', 'kruterchilipastensauce', 'gefllt', 'sie', 'mittagsmen', 'tan', 'freitag', 'keule', 'gemischter', 'lauch', 'salat', 'ham', 'go', 'montag', 'mchten', 'khao', 'prick', 'ihre', 'crema', 'hauptgang', 'rindfleisch', 'unsere', 'appetithappen', 'tamarindensaft', 'ente', 'teriyakisauce']"
Hard Rock Cafe - Berlin,4.3,30 € ou moins,Américaine,"['basted', 'grated', 'style', 'back', 'artisan', 'edamame', 'glaze', 'peppers', 'buns', 'mashed', 'brownie', 'rhythm', 'plantbased', 'cuban', 'then', 'cobbler', 'diablo', 'american', 'fried', 'crispy', 'beer', 'cuatro', 'request', 'in', 'green', 'julienned', 'citron', 'from', 'invented', 'bodacious', 'sliced', 'absolut', 'grilled', 'basil', 'mediumwell', 'floater', 'on', 'spicy', 'crisps', 'vinaigrette', 'tupelo', 'duo', 'mug', 'gallo', 'tangy', 'mixed', 'finished', 'powdered', 'soda', 'croutons', 'trio', 'aejo', 'diced', 'slowcooked', 'legendary', 'salad', 'wings', 'sandwich', 'corn', 'pulled', 'orange', 'up', 'breast', 'texmexstyle', 'mango', 'fajitas', 'twisted', 'glazed', 'parmesan', 'caramel', 'caribbean', 'fajitaspiced', 'whipped', 'night', 'bahama', 'stacked', 'vga', 'morgan', 'strip', 'cheeseburger', 'g', 'rum', 'wi', 'tiki', 'miniburgers', 'monterey', 'chocolate', 'crme', 'vineripened', 'upon', 'quinoa', 'fevertree', 'malibu', 'homemade', 'honey', 'original', 'fruit', 'madagascar', 'sour', 'layered', 'thick', 'roma', 'leaf', 'upgrade', 'spiced', 'dijon', 'vodka', 'little', 'handpulled', 'mint', 'slices', 'sprinkles', 'brown', 'coconut', 'cheese', 'grenadine', 'strawberry', 'prosecco', 'blend', 'blue', 'pickled', 'surf', 'superior', 'ranch', 'swiss', 'one', 'refreshing', 'pickles', 'nystyle', 'fresh', 'hawaii', 'vegetables', 'served', 'sauted', 'mac', 'butter', 'jerry', 'oz', 'our', 'creamy', 'ice', 'three', 'dressing', 'mai', 'wedge', 'tribute', 'steak', 'bun', 'smith', 'decker', 'until', 'southwestern', 'perfection', 'tea', 'signature', 'allamerican', 'rich', 'chargrilled', 'your', 'granny', 'cheddar', 'spice', 'choice', 'tossed', 'extra', 'captain', 'ribs', 'sugar', 'sailor', 'apple', 'black', 'caesar', 'lime', 'crumbles', 'mama', 'asian', 'slowroasted', 'tortilla', 'home', 'half', 'noodles', 'burgers', 'banana', 'mule', 'housemade', 'it', 'guacamole', 'of', 'mojito', 'bruschetta', 'golden', 'boneless', 'new', 'barbecue', 'sliders', 'dinerstyle', 'norwegian', 'veggie', 'chips', 'all', 'toasted', 'relish', 'greens', 'pasta', 'v', 'pork', 'tenders', 'cavatappi', 'marinated', 'add', 'ring', 'buttermilkmarinated', 'tortillas', 'pineapple', 'are', 'vanilla', 'jazz', 'substitute', 'burger', 'cowboy', 'romaine', 'orleans', 'hawaiian', 'blended', 'bed', 'bacardi', 'noodle', 'york', 'potatoes', 'to', 'tropical', 'bangkok', 'pickle', 'slaw', 'smashed', 'milkshake', 'coleslaw', 'favourite', 'ramen', 'baked', 'float', 'double', 'salmon', 'or', 'bbq', 'mayonnaise', 'cocktail', 'red', 'over', 'shaken', 'mushroom', 'california', 'celery', 'sprinkle', 'hurricane', 'fudge', 'brioche', 'combination', 'tai', 'seared', 'apples', 'classic', 'beans', 'flavours', 'hot', 'onions', 'jalapeos', 'moving', 'amaretto', 'melted', 'onion', 'smokehouse', 'tomatoes', 'lettuce', 'two', 'passion', 'de', 'nachos', 'pico', 'smoked', 'patty', 'cream', 'bean', 'mountains', 'bacon', 'started', 'cedar', 'premium', 'turf', 'topped', 'herb', 'big', 'ranchstyle', 'crisp', 'and', 'mushrooms', 'cabbage', 'vg', 'buffalo', 'jack', 'treasured', 'sauce', 'enjoy', 'fries', 'sweet', 'traditional', 'tomato', 'famous', 'bread', 'down', 'side', 'brined', 'sparkling', 'shrimp', 'seasoned', 'roasted', 'plank', 'specialties', 'chicken', 'with', 'shoestring', 'country', 'cherry', 'stack', 'that', 'curaao', 'bowl', 's', 'choose', 'baby', 'the', 'cheesecake', 'sesamesoy', 'ginger', 'vinegar', 'ribeye', 'warm', 'oldfashioned', 'fourcheese', 'combo', 'forktender', 'juice', 'n', 'ros', 'shaved', 'romano', 'balsamic', 'carrots', 'mustard', 'perfect', 'a', 'dark']"
