Restaurant_Name,Ranking,Price_Range,Cuisine_Type,Menu Items
Hawksmoor Edinburgh,4.5,De 26 £ à 40 £,Grillade,"['the', 'with', 'all', 'trimmings', 'slow', 'gb', 'rump', 'roast']"
Bread Street Kitchen & Bar — Edinburgh,3.9,De 26 £ à 40 £,Britannique Moderne,[]
Commons Club Bar & Restaurant,4.5,41 £ et plus,Écossaise,"['pistachio', 'melon', 'mull', 'yogurt', 'lobster', 'black', 'caesar', 'label', 'clam', 'shallot', 'onion', 'leek', 'kohlrabi', 'raspberry', 'larder', 'is', 'cultured', 'tomatoes', 'sourdough', 'lettuce', 'brie', 'asparagus', 'chocolate', 'olives', 'etive', 'ij', 'winter', 'crme', 'chicory', 'heritage', 'de', 'spelt', 'fraiche', 'cucumber', 'dryaged', 'crudo', 'pudding', 'cacklebean', 'fried', 'smoked', 'showcasing', 'proud', 'present', 'cream', 'egg', 'dauphinoise', 'langoustines', 'pancetta', 'sheeps', 'salt', 'lemon', 'koshu', 'macadamias', 'mussel', 'emulsion', 'milk', 'oysters', 'barley', 'fish', 'panna', 'herbs', 'gordal', 'fruit', 'of', 'olive', 'edition', 'loch', 'jerusalem', 'trout', 'stornoway', 'green', 'tartare', 'herb', 'nero', 'thermidor', 'foraged', 'from', 'halibut', 'gel', 'hanley', 'katy', 'and', 'mushrooms', 'tartlet', 'peas', 'bon', 'grilled', 'isls', 'gb', 'truffle', 'little', 'pepper', 'sweet', 'burnt', 'tofu', 'hens', 'yuzu', 'rye', 'buttermilk', 'bellota', 'coconut', 'cheese', 'bread', 'boat', 'wild', 'turkey', 'seeds', 'handcarved', 'pineapple', 'iberico', 'pickled', 'meal', 'roasted', 'keta', 'best', 'nostalgia', 'chicken', 'day', 'melis', 'with', 'mussels', 'madagascan', 'capers', 'caviar', 'meringue', 'parfait', 'salad', 'chef', 'sea', 'rhubarb', 'risotto', 'avocado', 'watercress', 'soft', 'blinis', 'potatoes', 'bakery', 'to', 'corn', 'yoghurt', 'edinburgh', 'peanut', 'vegetables', 'roast', 'jamon', 'stem', 'the', 'something', 'frache', 'served', 'seasonal', 'cherries', 'seaweed', 'travels', 'compressed', 'charred', 'mignonette', 'butter', 'influence', 'commons', 'belhaven', 'oil', 'scottish', 'dashi', 'baked', 'dressing', 'rodgers', 'crowdie', 'salmon', 'or', 'kombu', 'featuring', 'crumb', 'raw', 'emma', 'mayonnaise', 'compte', 'anchovies', 'beef', 'artichoke', 'elevate', 'exmoor', 'chutney', 'caramel', 'club', 'her', 'calamari', 'bramble', 'mustard', 'chives', 'british', 'cuisine', 'your', 'cotta', 'garden', 'a', 'company', 'skin', 'tarragon', 'spring', 'dark', 'extra']"
Côte Brasserie - Edinburgh,4.7,25 £ ou moins,Française,"['duck', 'onions', 'haddock', 'apple', 'chevre', 'bayonne', 'sides', 'pastry', 'gratin', 'hollandaise', 'soup', 'onion', 'lorange', 'leek', 'peppers', 'buns', 'white', 'pink', 'tomatoes', 'creme', 'hazelnuts', 'crust', 'days', 'puree', 'sourdough', 'lettuce', 'brie', 'aux', 'olives', 'chocolate', 'two', 'prawns', 'french', 'frites', 'sharing', 'de', 'hour', 'breton', 'tomme', 'braised', 'pod', 'savoie', 'cucumber', 'dryaged', 'smoked', 'confit', 'crispy', 'half', 'patty', 'cream', 'egg', 'paillard', 'nicoise', 'salt', 'homemade', 'honey', 'cake', 'fig', 'tatin', 'recommended', 'bacon', 'dauphinois', 'fish', 'gem', 'deeper', 'cornfed', 'camembert', 'stew', 'choux', 'herbs', 'croutes', 'souffle', 'ageing', 'choice', 'handcut', 'of', 'fruit', 'tuile', 'in', 'comte', 'green', 'brittany', 'topped', 'tartare', 'squid', 'lentils', 'liver', 'upgrade', 'new', 'and', 'quiche', 'mushrooms', 'caramelised', 'sliced', 'charcuterie', 'cabbage', 'medium', 'option', 'grilled', 'share', 'gb', 'dijon', 'truffle', 'sauce', 'on', 'croquettes', 'pepper', 'fougasse', 'cheesboard', 'set', 'vinaigrette', 'traditional', 'tapenade', 'toasted', 'coppa', 'breadcrumbed', 'chips', 'calvados', 'dambert', 'v', 'tomato', 'rocket', 'prawn', 'financier', 'board', 'pork', 'cornichons', 'lardons', 'twicebaked', 'sirloin', 'cheese', 'bread', 'irish', 'au', 'marinated', 'custard', 'truffes', 'lamb', 'bream', 'aioli', 'endive', 'buchette', 'chantilly', 'grille', 'almond', 'baguette', 'boeuf', 'salted', 'vanilla', 'roasted', 'tenderstem', 'potato', 'hazelnut', 'burger', 'chicken', 'broccoli', 'rock', 'poulet', 'cote', 'with', 'mussels', 'capers', 'slowcooked', 'reblochon', 'bed', 'parfait', 'salad', 'flavour', 'wine', 'thyme', 'sea', 'cherry', 'room', 'puff', 'lorraine', 'poached', 'jus', 'fondant', 'avocado', 'soft', 'watercress', 'for', 'boiled', 'potatoes', 'to', 'maison', 'chilli', 'pulled', 'four', 'fourme', 'available', 'grassfed', 'baby', 'orange', 'served', 'seasonal', 'savoy', 'leeks', 'pie', 'cheeses', 'butter', 'vegan', 'provencal', 'oz', 'our', 'creamy', 'ice', 'radish', 'crab', 'baked', 'breast', 'dressing', 'ribeye', 'belly', 'anchovy', 'salmon', 'bourguignon', 'warm', 'chestnut', 'pieces', 'triplecooked', 'dark', 'grapes', 'fillet', 'gougeres', 'steak', 'raw', 'mayonnaise', 'nantais', 'fabletm', 'bun', 'pear', 'anchovies', 'beef', 'caper', 'minute', 'base', 'red', 'coulis', 'morbier', 'chutney', 'caramel', 'garlic', 'tarte', 'mushroom', 'saucisson', 'compote', 'rare', 'moules', 'rustic', 'bitter', 'calamari', 'matured', 'carrots', 'mustard', 'parmentier', 'rump', 'ham', 'chantenay', 'british', 'chargrilled', 'brioche', 'tart', 'chive', 'your', 'apples', 'a', 'berry', 'beans', 'tarragon', 'tuna', 'himalayan', 'shallots', 'champignons']"
Shish,4.6,De 26 £ à 40 £,Turque,[]
Hard Rock Cafe - Edinburgh,4.4,25 £ ou moins,Américaine,"['basted', 'still', 'applewood', 'tennessee', 'whiskey', 'grated', 'style', 'back', 'artisan', 'edamame', 'glaze', 'peppers', 'buns', 'azzurro', 'mashed', 'creme', 'brownie', 'caffe', 'rhythm', 'garnish', 'rim', 'plantbased', 'then', 'cobbler', 'diablo', 'american', 'fried', 'gin', 'crispy', 'beer', 'antica', 'either', 'whites', 'milkshakes', 'cuatro', 'lemonlime', 'cazadores', 'favorite', 'daniels', 'bombay', 'glass', 'please', 'in', 'mexican', 'sapphire', 'green', 'julienned', 'from', 'invented', 'sliced', 'absolut', 'grilled', 'basil', 'mediumwell', 'floater', 'on', 'spicy', 'rita', 'crisps', 'vinaigrette', 'tupelo', 'duo', 'mug', 'gallo', 'irish', 'ordered', 'tangy', 'mixed', 'finished', 'beefeater', 'smirnoff', 'soda', 'croutons', 'additional', 'rock', 'diced', 'slowcooked', 'legendary', 'chambord', 'salad', 'wine', 'iced', 'guava', 'may', 'wings', 'doctor', 'sandwich', 'fashioned', 'corn', 'pulled', 'server', 'orange', 'peroni', 'curacao', 'nectar', 'cointreau', 'just', 'breast', 'texmexstyle', 'mango', 'fajitas', 'twisted', 'spiked', 'blackberry', 'glazed', 'parmesan', 'caramel', 'shrimptm', 'house', 'caribbean', 'fajitaspiced', 'whipped', 'night', 'bahama', 'stacked', 'muddled', 'ask', 'heaven', 'coke', 'morgan', 'strip', 'cheeseburger', 'g', 'rum', 'this', 'originally', 'garnished', 'martini', 'tiki', 'miniburgers', 'monterey', 'chocolate', 'olives', 'smoky', 'frothy', 'lemonade', 'vineripened', 'quinoa', 'fevertree', 'beyond', 'malibu', 'egg', 'long', 'homemade', 'coffee', 'honey', 'original', 'island', 'sauteed', 'fruit', 'madagascar', 'olive', 'sour', 'bottles', 'grapefruit', 'layered', 'thick', 'roma', 'upgrade', 'leaf', 'bitters', 'spiced', 'selection', 'berries', 'vodka', 'little', 'handpulled', 'mint', 'slices', 'sprinkles', 'fanta', 'brown', 'tell', 'cooler', 'coconut', 'cold', 'splash', 'cheese', 'strawberry', 'grenadine', 'blend', 'blue', 'pickled', 'surf', 'superior', 'dry', 'ranch', 'swiss', 'one', 'purple', 'refreshing', 'cocacola', 'pickles', 'strawberries', 'nystyle', 'fresh', 'juniper', 'for', 'amongst', 'tonic', 'vegetables', 'served', 'kiss', 'mix', 'ultimate', 'vermouth', 'mac', 'butter', 'syrup', 'jerry', 'oz', 'our', 'creamy', 'ice', 'three', 'dressing', 'mai', 'wedge', 'alcohol', 'tribute', 'steak', 'bun', 'smith', 'zero', 'pitted', 'decker', 'until', 'energy', 'southwestern', 'perfection', 'paloma', 'bulleit', 'tea', 'signature', 'cosmopolitan', 'sugarfree', 'version', 'agave', 'allamerican', 'rich', 'chargrilled', 'juices', 'your', 'granny', 'cheddar', 'velvety', 'spice', 'choice', 'tossed', 'extra', 'captain', 'grappa', 'flavors', 'ribs', 'sugar', 'sailor', 'apple', 'black', 'bagkok', 'caesar', 'whisky', 'raspberry', 'lime', 'cost', 'more', 'crumbles', 'mama', 'beverages', 'cucumber', 'slowroasted', 'tortilla', 'blackberries', 'home', 'half', 'haze', 'will', 'noodles', 'jose', 'burgers', 'banana', 'mule', 'draught', 'mangos', 'housemade', 'it', 'guacamole', 'of', 'mojito', 'edition', 'hint', 'bruschetta', 'handmade', 'golden', 'spin', 'tango', 'boneless', 'new', 'local', 'made', 'jalapenos', 'barbecue', 'sliders', 'dinerstyle', 'norwegian', 'veggie', 'monin', 'riserva', 'chips', 'toasted', 'all', 'greens', 'pasta', 'originating', 'purposes', 'be', 'pork', 'tenders', 'cavatappi', 'marinated', 'add', 'anejo', 'ring', 'buttermilkmarinated', 'tortillas', 'pineapple', 'are', 'selections', 'vanilla', 'savoury', 'sprite', 'nyc', 'jazz', 'substitute', 'burger', 'cowboy', 'romaine', 'orleans', 'blended', 'bed', 'sangria', 'jumbo', 'bacardi', 'noodle', 'york', 'true', 'potatoes', 'to', 'tropical', 'bangkok', 'slaw', 'smashed', 'ketel', 'yellow', 'coleslaw', 'mangoberry', 'water', 'favourite', 'collectible', 'ramen', 'baked', 'float', 'double', 'salmon', 'or', 'free', 'elderflower', 'bbq', 'mayonnaise', 'includes', 'cocktail', 'red', 'over', 'drink', 'pint', 'shaken', 'bull', 'club', 'mushroom', 'california', 'celery', 'hurricane', 'fudge', 'brioche', 'combination', 'tai', 'seared', 'apples', 'classic', 'beans', 'flavours', 'hot', 'onions', 'kuyper', 'brewed', 'blues', 'amaretto', 'moving', 'onion', 'melted', 'is', 'smokehouse', 'tomatoes', 'lettuce', 'two', 'passion', 'de', 'nachos', 'pico', 'smoked', 'patty', 'an', 'cream', 'bean', 'loaded', 'mountains', 'squeeze', 'electric', 'bacon', 'started', 'vintage', 'cedar', 'premium', 'turf', 'houseinfused', 'rose', 'topped', 'hendricks', 'comfort', 'herb', 'big', 'ranchstyle', 'crisp', 'and', 'gt', 'mushrooms', 'cabbage', 'buffalo', 'jack', 'liqueur', 'bourbon', 'treasured', 'sauce', 'enjoy', 'fries', 'sweet', 'traditional', 'thighs', 'tomato', 'famous', 'nastro', 'dirty', 'match', 'hug', 'bread', 'down', 'side', 'brined', 'sparkling', 'seasoned', 'shrimp', 'roasted', 'baileys', 'plank', 'specialties', 'jameson', 'chicken', 'southern', 'simple', 'tower', 'with', 'shoestring', 'country', 'cherry', 'stack', 'that', 'kahlua', 'espresso', 'rockin', 'sailors', 'bowl', 'you', 'titos', 'available', 'choose', 's', 'baby', 'the', 'cranberry', 'diet', 'cheesecake', 'margarita', 'cuervo', 'sesamesoy', 'ginger', 'corretto', 'scallions', 'vinegar', 'ribeye', 'warm', 'oldfashioned', 'fourcheese', 'combo', 'old', 'forktender', 'juice', 'n', 'beverage', 'shaved', 'romano', 'silver', 'balsamic', 'carrots', 'mustard', 'tequila', 'chilled', 'perfect', 'what', 'gran', 'medicinal', 'a', 'sambuca', 'dark', 'manhattan']"
Tony Macaroni - Omni Centre,2.8,25 £ ou moins,Italienne,[]
The Canny Man's,4.6,25 £ ou moins,Écossaise,"['still', 'curried', 'grated', 'finish', 'tv', 'peaches', 'peppers', 'picar', 'garnish', 'chopped', 'staff', 'lovely', 'not', 'cessfords', 'manchego', 'duncans', 'm', 'prosthetic', 'fig', 'notice', 'cappuccino', 'supreme', 'bombay', 'glass', 'has', 'top', 'please', 'in', 'eggs', 'green', 'freshly', 'toast', 'from', 'quality', 'chriss', 'sliced', 'me', 'gb', 'anthony', 'ser', 'suppliers', 'amb', 'on', 'cheesy', 'vinaigrette', 'pate', 'mchoy', 'super', 'prefer', 'mixed', 'although', 'sundried', 'pa', 'soda', 'ground', 'croutons', 'medley', 'tips', 'lucas', 'laced', 'mussels', 'diced', 'we', 'salad', 'wine', 'americano', 'carvalho', 'year', 'chrysanthemum', 'featured', 'corn', 'roast', 'graduation', 'by', 'steins', 'petunia', 'mozzarella', 'just', 'diluted', 'rick', 'crab', 'platter', 'breast', 'trace', 'mor', 'large', 'food', 'dark', 'fillet', 'delicacy', 'extensive', 'laid', 'house', 'iceberg', 'her', 'specials', 'ask', 'sun', 'creamed', 'barnaise', 'affected', 'todays', 'supplying', 'lobster', 'haddock', 'hollandaise', 'soup', 'garnished', 'ups', 'chocolate', 'olives', 'frothy', 'prawns', 'plum', 'freshness', 'crme', 'schnapps', 'balencia', 'grey', 'experience', 'egg', 'homemade', 'coffee', 'lemon', 'smrrebrd', 'la', 'milk', 'camembert', 'assured', 'fine', 'fruit', 'sauternes', 'nished', 'sour', 'dozen', 'ronde', 'parsley', 'champagne', 'selection', 'vasques', 'gherkins', 'have', 'finely', 'vodka', 'mon', 'slices', 'liqueurs', 'malt', 'prawn', 'cold', 'cheese', 'strawberry', 'delivered', 'surf', 'potato', 'one', 'best', 'ian', 'serving', 'dried', 'olivia', 'sourced', 'day', 'shot', 'mayonaise', 'strawberries', 'ingredients', 'topping', 'capers', 'sauces', 'noble', 'lunch', 'profile', 'fresh', 'para', 'few', 'for', 'andrews', 'donate', 'snack', 'piquant', 'musselburgh', 'farmhouse', 'jacket', 'served', 'mix', 'tristans', 'calcutta', 'heroes', 'cheeses', 'butter', 'other', 'our', 'creamy', 'ice', 'three', 'rano', 'dressing', 'biscuits', 'grapes', 'range', 'decker', 'alliance', 'medely', 'raise', 'richness', 'ham', 'chives', 'rich', 'your', 'giles', 'bananes', 'choice', 'captain', 'tipster', 'treat', 'melon', 'breakfast', 'guarantee', 'whisky', 'real', 'own', 'asparagus', 'whole', 'cucumber', 'home', 'half', 'archers', 'dates', 'banana', 'sandwiches', 'oysters', 'daily', 'kerrs', 'of', 'number', 'majorcan', 'wide', 'made', 'reduced', 'rot', 'desert', 'delights', 'robins', 'all', 'relish', 'dill', 'smile', 'rings', 'heaviness', 'rye', 'be', 'clinics', 'marinated', 'supply', 'pineapple', 'are', 'almond', 'vanilla', 'duchess', 'tiger', 'pm', 'sir', 'caviar', 'bed', 'peach', 'fishy', 'rison', 'flavour', 'each', 'mans', 'mary', 'j', 'round', 'time', 'favourites', 'to', 'tropical', 'pickle', 'noon', 'coleslaw', 'cherries', 'nixe', 'require', 'heering', 'water', 'month', 'favourite', 'can', 'years', 'double', 'salmon', 'or', 'darjeeling', 'horseradish', 'mayonnaise', 'includes', 'cocktail', 'hours', 'over', 'basket', 'ved', 'charity', 'garlic', 'rare', 'despite', 'coronation', 'menu', 'english', 'tuna', 'earl', 'hot', 'tawny', 'if', 'onions', 'oli', 'amaretto', 'is', 'onion', 'white', 'tomatoes', 'lettuce', 'samanthas', 'de', 'order', 'wrapped', 'prepared', 'smoked', 'an', 'cream', 'marie', 'helped', 'peppermint', 'end', 'turf', 'african', 'rose', 'been', 'topped', 'here', 'thermidor', 'teas', 'finest', 'bloody', 'mainstay', 'crisp', 'and', 'sharp', 'mushrooms', 'many', 'bendinat', 'liqueur', 'sauce', 'curry', 'seafood', 'sweet', 'complimentary', 'every', 'tomato', 'last', 'famous', 'crevettes', 'bread', 'guindillas', 'side', 'toffee', 'biscuit', 'scotland', 'open', 'as', 'chicken', 'steamed', 'member', 'with', 'cherry', 'poached', 'port', 'avocado', 'espresso', 'olivias', 'you', 'tender', 'choose', 'the', 'canny', 'mellis', 'gar', 'scottish', 'suggestions', 'but', 'old', 'spanish', 'anchovies', 'beef', 'appellation', 'mongers', 'tasty', 'cooked', 'tiered', 'availability', 'without', 'limbs', 'bordeaux', 'latte', 'mustard', 'help', 'chilled', 'scoop', 'a', 'show', 'shallots', 'serrano']"
The Black Grape,4.8,De 26 £ à 40 £,Tapas/Amuse-Gueule,"['curried', 'black', 'grape', 'gratin', 'clementine', 'hummus', 'shallot', 'focaccia', 'leek', 'hasselback', 'ketchup', 'olives', 'cauliflower', 'harissa', 'fried', 'crispy', 'peppercorn', 'salt', 'honey', 'fig', 'lemon', 'croquette', 'aubergine', 'gochujang', 'gordal', 'jerusalem', 'roll', 'jam', 'romesco', 'pomegranate', 'tartare', 'herb', 'bisque', 'gb', 'buffalo', 'sauce', 'fries', 'seafood', 'feta', 'brown', 'sunflower', 'coriander', 'cheese', 'wild', 'seeds', 'aioli', 'shrimp', 'blue', 'dry', 'roasted', 'potato', 'tataki', 'hazelnut', 'oyster', 'chicken', 'walnut', 'mussels', 'capers', 'salad', 'sea', 'port', 'paprika', 'celeriac', 'potatoes', 'chilli', 'arancini', 'roast', 'natural', 'venison', 'charred', 'butter', 'mozzarella', 'haunch', 'crab', 'kyiv', 'saffron', 'steak', 'rice', 'scallops', 'artichoke', 'garlic', 'tempura', 'house', 'mushroom', 'whipped', 'rump', 'aged', 'seared', 'tuna', 'spring', 'puffed', 'shallots', 'hot']"
Bistronomy 176,4.6,25 £ ou moins,Méditerranée,"['gamberoni', 'onions', 'pastry', 'this', 'meatball', 'haddock', 'touch', 'style', 'cloves', 'create', 'hummus', 'is', 'onion', 'melted', 'peppers', 'white', 'cuts', 'baba', 'tomatoes', 'moussaka', 'angus', 'ribbon', 'italian', 'olives', 'leaves', 'chopped', 'prawns', 'french', 'two', 'charcoal', 'bolognese', 'mozerella', 'sheepoatspepper', 'zesty', 'oven', 'then', 'cucumber', 'chop', 'fried', 'smoked', 'special', 'crispy', 'courgette', 'peppercorn', 'ezme', 'lemon', 'its', 'flavor', 'nuts', 'flat', 'fish', 'minced', 'aubergine', 'popular', 'herbs', 'marbled', 'coast', 'thighs', 'offers', 'well', 'of', 'beeftomatoes', 'top', 'in', 'olive', 'hint', 'it', 'bruschetta', 'handmade', 'bechamel', 'fungi', 'meze', 'pomegranate', 'breadcrumbs', 'topped', 'squid', 'herb', 'distinctive', 'layered', 'pieced', 'saladonion', 'from', 'meat', 'gf', 'both', 'made', 'and', 'mushrooms', 'created', 'peas', 'vegetarian', 'onn', 'ganoush', 'vg', 'grilled', 'basil', 'gb', 'bonbon', 'kebab', 'sauce', 'on', 'spicy', 'pepper', 'fries', 'seafood', 'veggie', 'croquettes', 'haggis', 'chips', 'feta', 'pine', 'traditional', 'crusty', 'come', 'ragu', 'cubes', 'toasted', 'v', 'tomato', 'rocket', 'rings', 'prawn', 'spinach', 'comes', 'board', 'eggplant', 'kebabchicken', 'aberdeen', 'dip', 'cold', 'casserole', 'stuffed', 'cheese', 'bread', 'sirloin', 'humus', 'person', 'shish', 'marinated', 'mixed', 'meats', 'mainly', 'lamb', 'ring', 'meatballs', 'blend', 'are', 'filoparsel', 'goats', 'seasoned', 'cut', 'spicce', 'roasted', 'tiger', 'fat', 'one', 'iskender', 'breadcreamy', 'burger', 'chicken', 'vgf', 'blushed', 'halloumi', 'sausce', 'salsa', 'with', 'diced', 'blended', 'mussels', 'bed', 'vine', 'east', 'salad', 'flavour', 'cherry', 'fresh', 'specialty', 'unique', 'carrot', 'that', 'ali', 'parcels', 'charlgrilled', 'skewered', 'wings', 'pan', 'for', 'excellent', 'mince', 'tahini', 'lean', 'skewers', 'potatoes', 'chickpea', 'to', 'yoghurt', 'chilli', 'arancini', 'sausage', 'tender', 'four', 'roast', 'vegetables', 'chickpeas', 'crushed', 'greek', 'baby', 'the', 'smashed', 'veggies', 'fire', 'giving', 'served', 'adana', 'bistronomy', 'butter', 'aubergines', 'oz', 'our', 'creamy', 'oil', 'drizzle', 'under', 'cajun', 'scottish', 'slices', 'baked', 'breast', 'dressing', 'tzatziki', 'ribeye', 'lightly', 'spices', 'salmon', 'warm', 'king', 'pieces', 'large', 'fillet', 'penne', 'thin', 'mayonnaise', 'but', 'grill', 'rice', 'deep', 'falafel', 'beef', 'artichoke', 'red', 'balls', 'cooked', 'together', 'parmesan', 'texture', 'filled', 'coated', 'garlic', 'hearts', 'filling', 'house', 'mushroom', 'balsamic', 'calamari', 'rich', 'nazik', 'small', 'sun', 'spaghetti', 'creamed', 'chargrilled', 'combination', 'chops', 'spinachcalamarifalafel', 'garlicky', 'filo', 'a', 'flavorful', 'vvg', 'seabass', 'suet', 'tuna', 'layers', 'taste', 'hot']"
