Restaurant_Name,Ranking,Price_Range,Cuisine_Type,Menu Items
temper Soho,4.2,41 £ et plus,Steak,"['gin', 'paratha', 'eggs', 'one', 'chillis', 'pork', 'french', 'last', 'available', 'blanco', 'substitutions', 'lager', 'red', 'pm', 'onions', 'white', 'saturday', 'sausages', 'bourbonpickled', 'person', 'beef', 'margarita', 'peppers', 'chimichurri', 'housemade', 'lychilli', 'no', 'with', 'hours', 'menu', 'gochujang', 'ends', 'barbecue', 'burnt', 'tempranillo', 'blend', 'unity', 'smoked', 'dryaged', 'mid', 'sparkling', 'per', 'galloway', 'fried', 'bottomless', 'for', 'platter', 'vino', 'at', 'belted', 'portion', 'or', 'fizz', 'potatoes', 'brunch', 'served', 'dish', 'prosecco', 'butter', 'seating', 'ramiro', 'coalroasted', 'charred']"
Forty Dean Street,4.6,De 26 £ à 40 £,Italienne,[]
Gaucho Piccadilly,4.4,41 £ et plus,Steak,[]
8 at The Londoner,4.4,25 £ ou moins,Réservation de tables avec bouteilles,"['in', 'edamame', 'ribeye', 'leeks', 'avocado', 'chilli', 'lobster', 'cabbage', 'filo', 'and', 'seared', 'ice', 'dolce', 'bass', 'tempura', 'miso', 'ama', 'truffle', 'white', 'salad', 'chicken', 'king', 'fuji', 'black', 'cilantro', 'gyoza', 'beef', 'peppers', 'pastry', 'wagyu', 'goma', 'jalapeo', 'crispy', 'salsa', 'gb', 'tataki', 'wrapped', 'shichimi', 'wasabi', 'with', 'citrus', 'mayonnaise', 'kohlrabi', 'baby', 'steak', 'vegetable', 'warm', 'chargrilled', 'vegetarian', 'crme', 'grilled', 'dressing', 'sliced', 'ponzu', 'cherry', 'blossom', 'salt', 'apple', 'sea', 'lemon', 'cream', 'gorgonzola', 'roasted', 'syrup', 'soybean', 'crab', 'mizuame', 'prawns', 'padrn', 'carpaccio', 'pepper', 'butter', 'toasted', 'spicy', 'garlic', 'tacos']"
Heddon Street Kitchen,4.1,De 26 £ à 40 £,Européenne Moderne,[]
Shack-Fuyu,4.5,De 26 £ à 40 £,Japonaise,"['serve', 'sweet', 'stone', 'entire', 'spring', 'french', 'fresh', 'be', 'mac', 'pickle', 'bubu', 'seared', 'cucumber', 'katsu', 'red', 'toast', 'aji', 'before', 'prawn', 'sukiyaki', 'arare', 'coriander', 'kosho', 'tenderstem', 'sesame', 'pomegranate', 'ponzu', 'rabbit', 'hollandaise', 'cock', 'for', 'broccoli', 'v', 'homemade', 'cheddar', 'served', 'chashu', 'icecream', 'onion', 'the', 'rib', 'tacos', 'padron', 'sprouts', 'chilli', 'mushroom', 'aubergine', 'available', 'neck', 'iberico', 'seeds', 'tobiko', 'chillies', 'buns', 'mayo', 'beef', 'wagyu', 'table', 'bacon', 'crispy', 'salmon', 'soy', 'shiitake', 'korean', 'curry', 'tomato', 'grilled', 'dressing', 'tostada', 'sando', 'salt', 'cream', 'add', 'rice', 'fried', 'pluma', 'seabass', 'or', 'everyday', 'oil', 'pepper', 'butter', 'lettuce', 'masquerading', 'black', 'edamame', 'squid', 'ice', 'cholula', 'miso', 'toban', 'chicken', 'carrot', 'wafu', 'amarillo', 'tonkatsu', 'peppers', 'hot', 'share', 'with', 'pickled', 'egg', 'ginger', 'min', 'soft', 'shiso', 'sea', 'lemon', 'n', 'ceviche', 'macaroni', 'teriyaki', 'fillet', 'as', 'yellowtail', 'pulled', 'shallots', 'picahna', 'cheese', 'spicy', 'enoki', 'to', 'chives', 'avocado', 'pork', 'bbq', 'okonomiyaki', 'tare', 'sour', 'boshi', 'scratchings', 'orange', 'portobello', 'sauce', 'scallop', 'wings', 'gb', 'tataki', 'daikon', 'lamb', 'yolk', 'people', 'sweetcorn', 'plum', 'honey', 'veg', 'ume', 'tuna', 'yaki', 'sashimi', 'kinako', 'matcha', 'mushrooms', 'kimchi', 'steamed', 'yuzu']"
ROBATA,4.3,De 26 £ à 40 £,Japonaise,"['fed', 'meat', 'sweet', 'jalapeno', 'cooked', 'spring', 'fresh', 'minimum', 'braised', 'cucumber', 'pcs', 'red', 'truffle', 'king', 'aji', 'gyoza', 'shichimi', 'prawn', 'mixed', 'coriander', 'roll', 'purple', 'sesame', 'deluxe', 'mango', 'chipotle', 'shallot', 'flamed', 'homemade', 'asparagus', 'served', 'onion', 'waterchestnut', 'seaweed', 'garlic', 'padron', 'wood', 'chilli', 'mushroom', 'ribs', 'aubergine', 'unagi', 'seed', 'nori', 'duck', 'and', 'iberico', 'over', 'tempura', 'seeds', 'tobiko', 'salad', 'jfried', 'mayo', 'beef', 'chimichurri', 'crispy', 'salmon', 'soy', 'grapefruit', 'gochujang', 'corn', 'cod', 'short', 'tomato', 'grilled', 'dressing', 'set', 'california', 'salt', 'smoked', 'aioli', 'oyster', 'rice', 'fried', 'pluma', 'glaze', 'or', 'japanese', 'yakiniku', 'oil', 'pepper', 'kizami', 'lettuce', 'hay', 'zest', 'black', 'edamame', 'squid', 'cabbage', 'tobanyaki', 'thigh', 'on', 'free', 'miso', 'shitake', 'chicken', 'quail', 'carrot', 'wafu', 'amarillo', 'pea', 'fries', 'sansho', 'shimiji', 'with', 'pickled', 'egg', 'assorted', 'belly', 'hand', 'soft', 'shiso', 'puree', 'apple', 'sea', 'shell', 'ceviche', 'snow', 'barley', 'crab', 'fillet', 'dived', 'yellowtail', 'spicy', 'tofu', 'chives', 'avocado', 'chips', 'pork', 'pomelo', 'bbq', 'sake', 'green', 'range', 'bass', 'of', 'bluefin', 'orange', 'maldon', 'scallop', 'sauce', 'gb', 'tataki', 'wings', 'daikon', 'wasabi', 'cob', 'mushrooms', 'lamb', 'porcini', 'pine', 'tartar', 'karaage', 'cherry', 'spice', 'each', 'tuna', 'lime', 'nuts', 'sashimi', 'breast', 'hoisin', 'crushed', 'kimchi', 'steamed', 'yuzu']"
Americana ~ Southern Hospitality,4.6,De 26 £ à 40 £,Américaine,[]
Whitcomb's at The Londoner,4.4,De 26 £ à 40 £,Méditerranée,"['mandarin', 'mousse', 'two', 'whipped', 'wine', 'mushroom', 'dijon', 'pear', 'leaf', 'duck', 'shortbread', 'and', 'parmesan', 'ice', 'bass', 'fraiche', 'white', 'chicken', 'salad', 'mustard', 'san', 'mnuka', 'all', 'orange', 'spiced', 'tartare', 'portobello', 'panfried', 'vanilla', 'with', 'basil', 'mixed', 'steak', 'baby', 'kcal', 'marinated', 'mulled', 'gnocchi', 'three', 'yoghurt', 'biscuit', 'pine', 'burrata', 'honey', 'marzano', 'crme', 'butter', 'tomatoes', 'coffee', 'warm', 'dressing', 'sorbet', 'smoked', 'crunch', 'apple', 'lemon', 'sea', 'cream', 'chantilly', 'crumble', 'crunchy', 'nuts', 'seville', 'v', 'courses', 'served', 'carpaccio', 'aged', 'shallots', 'balsamic', 'compote', 'spicy', 'zest']"
L'Escargot,4.5,41 £ et plus,Française,"['french', 'cucumber', 'les', 'gaudin', 'tartare', 'freshly', 'baked', 'pomegranate', 'bisque', 'for', 'buttered', 'boeuf', 'caf', 'v', 'rossini', 'new', 'escargots', 'en', 'onion', 'plate', 'georges', 'creamed', 'ribeye', 'chilli', 'mushroom', 'lobster', 'available', 'duck', 'and', 'gras', 'olives', 'salad', 'confit', 'beef', 'worcester', 'pistachios', 'cocktail', 'salmon', 'de', 'grilled', 'prigourdine', 'citron', 'demisel', 'breads', 'creams', 'or', 'potatoes', 'courses', 'butter', 'in', 'cabbage', 'barnaise', 'maison', 'vg', 'glazed', 'ice', 'on', 'carbonnade', 'pm', 'beurre', 'risotto', 'pomme', 'with', 'roquefort', 'sorbets', 'pickled', 'steak', 'tarragon', 'halibut', 'charcuterie', 'snail', 'crab', 'fillet', 'cheese', 'wild', 'avocado', 'tarte', 'chips', 'crote', 'spinach', 'blanc', 'verts', 'leaf', 'selection', 'green', 'foie', 'of', 'savoy', 'sausages', 'au', 'sauce', 'dauphinoise', 'poached', 'gb', 'mayonnaise', 'terrine', 'pie', 'gordal', 'haricots', 'peppercorn', 'paris', 'nuts', 'soup', 'salted', 'request']"
