Restaurant_Name,Ranking,Price_Range,Cuisine_Type,Menu Items
Mirabelle,4.4,51 € et plus,Italienne,"['saten', 'c', 'baron', 'poruzots', 'fratta', 'breg', 'dei', 'paolo', 'silex', 'schlossgut', 'puthod', 'mikulski', 'golan', 'billecart', 'leo', 'johann', 'giacosa', 'vernaccia', 'inama', 'antica', 'm', 'donna', 'cretes', 'piculin', 'kabinett', 'timorasso', 'rocche', 'mandorlo', 'picolit', 'bri', 'bouzy', 'luni', 'ry', 'vionier', 'soave', 'were', 'batarmontrachet', 'lamiral', 'jacquart', 'al', 'portinari', 'kosher', 'falanghina', 'pacalet', 'macchiole', 'churchill', 'dacqui', 'campanaro', 'pinot', 'lugana', 'falesia', 'martino', 'yarden', 'cococciola', 'tignanello', 'fils', 'chard', 'tiefenbrunner', 'duca', 'schiopetto', 'privata', 'montalcino', 'arkezia', 'gain', 'boscareto', 'foret', 'nuzzo', 'agricola', 'ss', 'comtes', 'pog', 'passito', 'schloss', 'dom', 'grigio', 'torcolato', 'ottaviano', 'sauv', 'arneis', 'folonari', 'luigi', 'droihin', 'geraci', 'vigne', 'giallo', 'sau', 'malvasia', 'manduria', 'del', 'cabreo', 'louise', 'friul', 'vieilles', 'l', 'f', 'py', 'valentino', 'vie', 'gewurztraminer', 'antinori', 'privilegio', 'oche', 'enrico', 'picol', 'rocca', 'pietra', 'sup', 'caggiano', 'laguich', 'pieropan', 'lynn', 'chasseloir', 'echezeaux', 'muscadet', 'barbera', 'viognier', 'flors', 'pecorino', 'malv', 'colutta', 'st', 'castel', 'terruzzi', 'kerner', 'falkenstein', 'brolettino', 'gemma', 'radici', 'antonio', 'martray', 'bl', 'ramonet', 'montaigne', 'pin', 'pulignymontrachet', 'tufi', 'bechar', 'muffato', 'lowengang', 'conterno', 'd', 'champ', 'darles', 'roy', 'davola', 'castello', 'monteriolo', 'bukkuram', 'g', 'roederer', 'coi', 'jolivet', 'bass', 'mouches', 'thienot', 'palliser', 'uccellanda', 'martingana', 'blanc', 'veltliner', 'b', 'petersbourg', 'doca', 'knoll', 'masson', 'semi', 'mugneret', 'gialla', 'moncuit', 'brassica', 'potazzine', 'barolo', 'magnum', 'organic', 'braida', 'beyond', 'fiori', 'cru', 'don', 'trimbach', 'la', 'salaparuta', 'clementi', 'liquorvino', 'delle', 'bosco', 'balciana', 'sauvignon', 'latour', 'cotat', 'frederic', 'sauternes', 'grangerville', 'comte', 'procanico', 'roses', 'beuroy', 'terres', 'dabbruzzo', 'pic', 'vdt', 'convento', 'vino', 'u', 'dop', 'monts', 'vion', 'trebbiano', 'rossi', 'damnes', 'capo', 'brion', 'kastelaz', 'gmajne', 'giovenale', 'frascati', 'marascato', 'val', 'bellavista', 'moreycoffinet', 'haute', 'chateniere', 'aquilane', 'chassagnemontrachet', 'siracusa', 'smaragd', 'e', 'olena', 'sauvi', 'herzu', 'gewurtztraminer', 'dagueneau', 'maximo', 'nature', 'prosecco', 'vigneti', 'praepositus', 'meursault', 'tokay', 'cr', 'lipari', 'dry', 'niklas', 'mompertone', 'michaeleppan', 'vignes', 'colinmorey', 'tenuta', 'guy', 'morgex', 'romarines', 'blanches', 'santa', 'voerzio', 'aubin', 'i', 'weinbach', 'gaja', 'haut', 'cortese', 'chenin', 'prunotto', 'gewurtztr', 'fermo', 'recioto', 'colli', 'poggio', 'paolis', 'graco', 'pietraincatenata', 'bellerive', 'jadot', 'anna', 'dasti', 'annunciata', 'anfora', 'friulano', 'giocheremo', 'collection', 'wurzgarten', 'pulignymontrac', 'chardonnay', 'hugel', 'bruna', 'feldmarschall', 'haas', 'es', 'rosso', 'zero', 'dabruzzo', 'emmerich', 'torre', 'pulignymontr', 'mosnel', 'urz', 'sanct', 'verdicchio', 'gosset', 'gravner', 'kante', 'ornellaia', 'rey', 'capitel', 'alte', 'decimo', 'primosic', 'damico', 'gruner', 'livio', 'livon', 'oenotheque', 'brut', 'lageder', 'extra', 'sole', 'lis', 'collezione', 'reserve', 'mottura', 'botte', 'gc', 'alture', 'walch', 'vento', 'tardive', 'comtess', 'cinerino', 'cuve', 'spatl', 'albarola', 'folatieres', 'fume', 'er', 'banfi', 'pressenda', 'orvieto', 'mont', 'lafond', 'uis', 'paillard', 'dalessano', 'via', 'tenute', 'rosa', 'diel', 'pol', 'kolbenhof', 'alle', 'p', 'frati', 'civitella', 'gatti', 'terriccio', 'sylvaner', 'frusinate', 'corneille', 'terlano', 'gianni', 'tunina', 'novacella', 'lorenzo', 'principiano', 'laurent', 'bianco', 'campogrande', 'umani', 'primitivo', 'carapelle', 'san', 'prignon', 'bouchard', 'grande', 'cantina', 'franz', 'il', 'bellenda', 'riesl', 'ettore', 'albare', 'riserva', 'baccan', 'candia', 'rob', 'mastroberardino', 'fiano', 'pozzo', 'clos', 'dr', 'roero', 'vecchie', 'brutmosaique', 'fadis', 'mann', 'capitelli', 'riesling', 'kuenhof', 'ha', 'montauto', 'cl', 'sartarelli', 'feudi', 'chteau', 'dellann', 'ballotmillot', 'bruno', 'terre', 'sir', 'laurence', 'ceretto', 'millesime', 'pierre', 'fevre', 'emile', 'muscadelle', 'krug', 'con', 'j', 'germano', 'qde', 'solaia', 'ponsardin', 'morey', 'tufo', 'cialla', 'muffo', 'mesnil', 'rayon', 'dyquem', 'du', 'ebb', 'alteni', 'gazze', 'loui', 'zenato', 'winston', 'telemaco', 'moine', 'lambruschi', 'william', 'elena', 'tellenae', 'perrieres', 'ponente', 'catherine', 'di', 'mosc', 'quarts', 'sterpi', 'fheinherb', 'ribolla', 'fino', 'roger', 'salmon', 'sbilf', 'estate', 'pas', 'maculan', 'giulio', 'chaume', 'chat', 'gregorio', 'grechetto', 'loosen', 'giorg', 'clouds', 'semivicoli', 'drouhin', 'anselmi', 'lapio', 'autoctoni', 'chereaucarr', 'pantben', 'lichstein', 'bollinger', 'gcr', 'brachetto', 'passerina', 'caprai', 'chardon', 'punt', 'manfredi', 'murana', 'sala', 'dorsheimer', 'vendage', 'verdeca', 'louis', 'perrier', 'maria', 'felluga', 'dreams', 'garenne', 'amiot', 'abbazia', 'horizon', 'gimignano', 'cortoncharlemagne', 'blancs', 'vittorio', 'baronia', 'muller', 'istr', 'le', 'chablis', 'anni', 'turbiana', 'perignon', 'pinero', 'semillon', 'beaune', 'de', 'clicquot', 'masciarelli', 'pucelles', 'visciola', 'garganega', 'cervaro', 'veuve', 'sancerre', 'dubleesse', 'dessimis', 'chevalier', 'ca', 'tasso', 'brunello', 'ruinart', 'pommery', 'hoffstatter', 'franciacorta', 'pant', 'campo', 'paleo', 'della', 'doc', 'broglia', 'vintage', 'stramacci', 'avellino', 'massa', 'neris', 'tradition', 'grache', 'habemus', 'foscarino', 'valentini', 'braide', 'guado', 'gew', 'rose', 'colin', 'odem', 'nero', 'classico', 'cardinale', 'podversic', 'dos', 'charmes', 'pi', 'greg', 'doquet', 'les', 'isole', 'sisto', 'ala', 'alloro', 'enos', 'carjcanti', 'zibibbo', 'bois', 'ravenau', 'vulcaia', 'ladoucette', 'pratzner', 'friu', 'vespaiola', 'pietroso', 'weingut', 'urziger', 'ferrari', 'essence', 'sergio', 'manzoni', 'pigato', 'poully', 'oenoteque', 'adriana', 'beati', 'bonneau', 'vitoska', 'greco', 'jermann', 'gitton', 'gavi', 'rib', 'robert', 'vermentino', 'siecle', 'quinto', 'taittinger', 'ronchi', 'montrachet', 'romans', 'pascal', 'hauner', 'gulfi', 'valentin', 'abbona', 'blan', 'moretti', 'lafon', 'xelis', 's', 'marq', 'the', 'ligure', 'greche', 'chardo', 'sanlor', 'cuvee', 'passo', 'piere', 'superiore', 'grand', 'martinborough', 'laville', 'bucci', 'bartoli', 'n', 'spinetta', 'vielles', 'villa', 'ris', 'ros', 'belgrave', 'donnafugata', 'fenice', 'gri', 'paros', 'millesim', 'rieussec', 'francia', 'francaises', 'alois', 'cristal', 'bougros', 'chateau', 'thurgau', 'sagrant', 'alturebianco', 'moscato', 'cave', 'fondatore', 'coppo', 'maffini', 'numen', 'quarz', 'a', 'gris', 'blange', 'premiere']"
Ristorante Agrodolce Roma,4.7,30 € ou moins,Italienne,"['miele', 'scaloppine', 'filet', 'gambero', 'saute', 'black', 'roman', 'tartufo', 'caesar', 'scottato', 'focaccia', 'onion', 'trittico', 'octopus', 'white', 'tomatoes', 'angus', 'lettuce', 'chocolate', 'bucatini', 'agrodolce', 'prawns', 'fonduta', 'bolognese', 'ripassata', 'salame', 'rosemary', 'chicory', 'cucumber', 'ganache', 'broccolo', 'cured', 'pudding', 'confit', 'reggiano', 'pepe', 'chili', 'cream', 'forno', 'infused', 'egg', 'saltimbocca', 'homemade', 'fennel', 'pizza', 'tagliata', 'honey', 'escalopes', 'lemon', 'salt', 'cake', 'coffee', 'bacon', 'mascarpone', 'pot', 'g', 'spinaci', 'panna', 'fish', 'alle', 'sauteed', 'tiramis', 'hamburger', 'of', 'insalata', 'oregano', 'parma', 'olive', 'in', 'bruschetta', 'lattuga', 'salads', 'pappardelle', 'mista', 'tartare', 'sale', 'squid', 'cipolla', 'noci', 'meat', 'parmigiano', 'gnocchi', 'al', 'bianco', 'local', 'finocchi', 'verdure', 'fettucine', 'uvetta', 'and', 'selection', 'walnuts', 'caramelised', 'sliced', 'mushrooms', 'pera', 'vino', 'caprese', 'grilled', 'basil', 'buffalo', 'truffle', 'sauce', 'mignon', 'caramellata', 'pepper', 'pomodori', 'cicoria', 'feta', 'fragole', 'cuts', 'come', 'pasta', 'veal', 'tomato', 'rocket', 'spinach', 'cetrioli', 'e', 'olio', 'cozze', 'stracciatella', 'rucola', 'marsala', 'bistecca', 'verdura', 'cheese', 'cold', 'carpaccio', 'grigliate', 'tonnarelli', 'gourmet', 'ravioli', 'side', 'strawberry', 'piatto', 'meats', 'frutti', 'starters', 'mixed', 'stagionale', 'shrimp', 'salmone', 'torta', 'zafferano', 'alla', 'cipolle', 'groviera', 'ground', 'ricotta', 'burger', 'chicken', 'broccoli', 'bruschette', 'locali', 'patate', 'servito', 'salsa', 'burro', 'carciofo', 'marinara', 'with', 'mussels', 'topping', 'basilico', 'salad', 'formaggio', 'cherry', 'sea', 'robiola', 'borghese', 'con', 'romanstyle', 'slice', 'tagliere', 'arancia', 'margherita', 'pears', 'greca', 'carbonara', 'potatoes', 'vongole', 'vegetables', 'savoiardi', 'danese', 'the', 'orange', 'fuso', 'served', 'calda', 'canadese', 'mix', 'seasonal', 'cheesecake', 'sage', 'manzo', 'cheeses', 'mozzarella', 'romana', 'butter', 'season', 'dish', 'polpo', 'oil', 'o', 'di', 'limone', 'salumi', 'baked', 'formaggi', 'raisins', 'cacio', 'gricia', 'clams', 'salmon', 'or', 'terrina', 'biscuits', 'pecorino', 'prosciutto', 'almonds', 'food', 'pepperoni', 'steak', 'porcini', 'sugo', 'anchovies', 'beef', 'artichoke', 'cooked', 'verde', 'parmesan', 'tagliatelle', 'garlic', 'bufala', 'stagione', 'romano', 'fettuccine', 'mandorle', 'cioccolato', 'rag', 'ai', 'rosmarino', 'alici', 'fresco', 'ham', 'spaghetti', 'allamatriciana', 'mare', 'pomodoro', 'adn', 'cotta', 'crema', 'gorgonzola', 'cheddar', 'tagliolini', 'sheep', 'pachino', 'a', 'selezione', 'pollo', 'tartufata', 'bruschettas', 'hot', 'filetto']"
Vico Pizza & Wine,4.8,De 31 € à 50 €,Pizzéria,"['salsiccia', 'marzano', 'inglese', 'saltata', 'sospeso', 'rete', 'tartufo', 'pizze', 'semifera', 'focaccia', 'due', 'fior', 'semi', 'artigianale', 'sottobosco', 'zucca', 'funghi', 'salame', 'maestro', 'sorrentina', 'coccia', 'ganache', 'crudo', 'salernitane', 'provola', 'pepe', 'reggiano', 'mandarino', 'gelatina', 'colline', 'arancio', 'friarielli', 'pancetta', 'pizza', 'scarola', 'della', 'la', 'napoletano', 'focacius', 'semisecchi', 'bosco', 'alle', 'bab', 'norcia', 'clementina', 'cetara', 'provolone', 'in', 'olive', 'fabula', 'monaco', 'carciofini', 'napoli', 'arrabbiata', 'nero', 'parmigiano', 'diavola', 'penisola', 'al', 'montanarina', 'bianco', 'gaeta', 'verdure', 'san', 'nostra', 'dop', 'vegetariana', 'calzone', 'coccinella', 'parti', 'lampone', 'rossi', 'cynar', 'pepper', 'pomodori', 'viterbese', 'pomodorini', 'rhum', 'catalana', 'olio', 'e', 'piennolo', 'baccal', 'rucola', 'riccia', 'pacchetelle', 'caramello', 'carpaccio', 'cafona', 'blend', 'frutti', 'pdo', 'oliva', 'napoletana', 'alla', 'aromatizzata', 'fondente', 'grana', 'nere', 'blu', 'ricotta', 'vaniglia', 'padano', 'carne', 'vesuvio', 'pantheon', 'marinara', 'tradizione', 'montata', 'crumble', 'inverno', 'basilico', 'saltati', 'santa', 'cuore', 'ventricina', 'con', 'apreda', 'margherita', 'del', 'origano', 'campana', 'macinata', 'cavalcanti', 'scaglie', 'innovative', 'pikkante', 'calzoncino', 'evo', 'mandorla', 'carciofi', 'schiacciata', 'fritto', 'mousse', 'mozzarella', 'zuppetta', 'provala', 'mesi', 'cruda', 'grattugiato', 'di', 'salumi', 'formaggi', 'conciato', 'pecorino', 'arrotolata', 'sella', 'prosciutto', 'secchi', 'divisa', 'porcini', 'aglio', 'lucia', 'composta', 'acciughe', 'tavolozza', 'bufala', 'stagione', 'romano', 'maiale', 'extravergine', 'ciauscolo', 'enzo', 'cioccolato', 'mandorle', 'rosmarino', 'nocciola', 'latte', 'artigianali', 'francesco', 'selvatici', 'pomodoro', 'spezie', 'nice', 'crema', 'a', 'gialli', 'piccante', 'prezzemolo', 'selezione', 'insalate', 'g', 'camapana']"
Hard Rock Cafe - Rome,4.5,30 € ou moins,Américaine,"['basted', 'still', 'applewood', 'tennessee', 'whiskey', 'grated', 'style', 'back', 'artisan', 'edamame', 'glaze', 'peppers', 'buns', 'azzurro', 'mashed', 'creme', 'brownie', 'caffe', 'rhythm', 'garnish', 'rim', 'plantbased', 'then', 'cobbler', 'diablo', 'american', 'fried', 'gin', 'crispy', 'beer', 'antica', 'either', 'whites', 'milkshakes', 'cuatro', 'lemonlime', 'cazadores', 'favorite', 'daniels', 'bombay', 'glass', 'please', 'in', 'mexican', 'sapphire', 'green', 'julienned', 'from', 'invented', 'sliced', 'absolut', 'grilled', 'basil', 'mediumwell', 'floater', 'on', 'spicy', 'rita', 'crisps', 'vinaigrette', 'tupelo', 'duo', 'mug', 'gallo', 'irish', 'ordered', 'tangy', 'mixed', 'finished', 'beefeater', 'smirnoff', 'soda', 'croutons', 'additional', 'rock', 'diced', 'slowcooked', 'legendary', 'chambord', 'salad', 'wine', 'iced', 'guava', 'may', 'wings', 'doctor', 'sandwich', 'fashioned', 'corn', 'pulled', 'server', 'orange', 'peroni', 'curacao', 'nectar', 'cointreau', 'just', 'breast', 'texmexstyle', 'mango', 'fajitas', 'twisted', 'spiked', 'blackberry', 'glazed', 'parmesan', 'caramel', 'shrimptm', 'house', 'caribbean', 'fajitaspiced', 'whipped', 'night', 'bahama', 'stacked', 'muddled', 'ask', 'heaven', 'coke', 'morgan', 'strip', 'cheeseburger', 'g', 'rum', 'this', 'originally', 'garnished', 'martini', 'tiki', 'miniburgers', 'monterey', 'chocolate', 'olives', 'smoky', 'frothy', 'lemonade', 'vineripened', 'quinoa', 'fevertree', 'beyond', 'malibu', 'egg', 'long', 'homemade', 'coffee', 'honey', 'original', 'island', 'sauteed', 'fruit', 'madagascar', 'olive', 'sour', 'bottles', 'grapefruit', 'layered', 'thick', 'roma', 'upgrade', 'leaf', 'bitters', 'spiced', 'selection', 'berries', 'vodka', 'little', 'handpulled', 'mint', 'slices', 'sprinkles', 'fanta', 'brown', 'tell', 'cooler', 'coconut', 'cold', 'splash', 'cheese', 'strawberry', 'grenadine', 'blend', 'blue', 'pickled', 'surf', 'superior', 'dry', 'ranch', 'swiss', 'one', 'purple', 'refreshing', 'cocacola', 'pickles', 'strawberries', 'nystyle', 'fresh', 'juniper', 'for', 'amongst', 'tonic', 'vegetables', 'served', 'kiss', 'mix', 'ultimate', 'vermouth', 'mac', 'butter', 'syrup', 'jerry', 'oz', 'our', 'creamy', 'ice', 'three', 'dressing', 'mai', 'wedge', 'alcohol', 'tribute', 'steak', 'bun', 'smith', 'zero', 'pitted', 'decker', 'until', 'energy', 'southwestern', 'perfection', 'paloma', 'bulleit', 'tea', 'signature', 'cosmopolitan', 'sugarfree', 'version', 'agave', 'allamerican', 'rich', 'chargrilled', 'juices', 'your', 'granny', 'cheddar', 'velvety', 'spice', 'choice', 'tossed', 'extra', 'captain', 'grappa', 'flavors', 'ribs', 'sugar', 'sailor', 'apple', 'black', 'bagkok', 'caesar', 'whisky', 'raspberry', 'lime', 'cost', 'more', 'crumbles', 'mama', 'beverages', 'cucumber', 'slowroasted', 'tortilla', 'blackberries', 'home', 'half', 'haze', 'will', 'noodles', 'jose', 'burgers', 'banana', 'mule', 'draught', 'mangos', 'housemade', 'it', 'guacamole', 'of', 'mojito', 'edition', 'hint', 'bruschetta', 'handmade', 'golden', 'spin', 'tango', 'boneless', 'new', 'local', 'made', 'jalapenos', 'barbecue', 'sliders', 'dinerstyle', 'norwegian', 'veggie', 'monin', 'riserva', 'chips', 'toasted', 'all', 'greens', 'pasta', 'originating', 'purposes', 'be', 'pork', 'tenders', 'cavatappi', 'marinated', 'add', 'anejo', 'ring', 'buttermilkmarinated', 'tortillas', 'pineapple', 'are', 'selections', 'vanilla', 'savoury', 'sprite', 'nyc', 'jazz', 'substitute', 'burger', 'cowboy', 'romaine', 'orleans', 'blended', 'bed', 'sangria', 'jumbo', 'bacardi', 'noodle', 'york', 'true', 'potatoes', 'to', 'tropical', 'bangkok', 'slaw', 'smashed', 'ketel', 'yellow', 'coleslaw', 'mangoberry', 'water', 'favourite', 'collectible', 'ramen', 'baked', 'float', 'double', 'salmon', 'or', 'free', 'elderflower', 'bbq', 'mayonnaise', 'includes', 'cocktail', 'red', 'over', 'drink', 'pint', 'shaken', 'bull', 'club', 'mushroom', 'california', 'celery', 'hurricane', 'fudge', 'brioche', 'combination', 'tai', 'seared', 'apples', 'classic', 'beans', 'flavours', 'hot', 'onions', 'kuyper', 'brewed', 'blues', 'amaretto', 'moving', 'onion', 'melted', 'is', 'smokehouse', 'tomatoes', 'lettuce', 'two', 'passion', 'de', 'nachos', 'pico', 'smoked', 'patty', 'an', 'cream', 'bean', 'loaded', 'mountains', 'squeeze', 'electric', 'bacon', 'started', 'vintage', 'cedar', 'premium', 'turf', 'houseinfused', 'rose', 'topped', 'hendricks', 'comfort', 'herb', 'big', 'ranchstyle', 'crisp', 'and', 'gt', 'mushrooms', 'cabbage', 'buffalo', 'jack', 'liqueur', 'bourbon', 'treasured', 'sauce', 'enjoy', 'fries', 'sweet', 'traditional', 'thighs', 'tomato', 'famous', 'nastro', 'dirty', 'match', 'hug', 'bread', 'down', 'side', 'brined', 'sparkling', 'seasoned', 'shrimp', 'roasted', 'baileys', 'plank', 'specialties', 'jameson', 'chicken', 'southern', 'simple', 'tower', 'with', 'shoestring', 'country', 'cherry', 'stack', 'that', 'kahlua', 'espresso', 'rockin', 'sailors', 'bowl', 'you', 'titos', 'available', 'choose', 's', 'baby', 'the', 'cranberry', 'diet', 'cheesecake', 'margarita', 'cuervo', 'sesamesoy', 'ginger', 'corretto', 'scallions', 'vinegar', 'ribeye', 'warm', 'oldfashioned', 'fourcheese', 'combo', 'old', 'forktender', 'juice', 'n', 'beverage', 'shaved', 'romano', 'silver', 'balsamic', 'carrots', 'mustard', 'tequila', 'chilled', 'perfect', 'what', 'gran', 'medicinal', 'a', 'sambuca', 'dark', 'manhattan']"
Giano Restaurant,4.7,30 € ou moins,Italienne,[]
Kisaki Ramen & Sushi - Roma,4.7,De 31 € à 50 €,Japonaise,[]
Osteria Pizzeria di Agrippa,4.8,30 € ou moins,Italienne,[]
CLOROFILLA CUCINA E DISTILLATI,4.9,De 31 € à 50 €,Italienne,"['biscotto', 'laccato', 'miele', 'yogurt', 'onions', 'black', 'turbot', 'tartufo', 'foglie', 'affumicato', 'rapa', 'bavarian', 'zenzero', 'focaccia', 'raspberry', 'lime', 'leek', 'liquirizia', 'grigliato', 'mantecato', 'ajo', 'tomatoes', 'powder', 'datterino', 'peppers', 'octopus', 'le', 'white', 'angus', 'osmosi', 'chocolate', 'leaves', 'liquorice', 'rosticciato', 'allo', 'linguini', 'crme', 'nduja', 'flavoured', 'magnum', 'polvere', 'daikon', 'candito', 'crudo', 'home', 'aceto', 'fried', 'smoked', 'fregola', 'pepe', 'brace', 'cream', 'mantecata', 'fennel', 'low', 'honey', 'frolla', 'namelaka', 'lemon', 'riso', 'la', 'finocchietto', 'hosomaki', 'banana', 'milk', 'cacao', 'oysters', 'demiglace', 'panko', 'bosco', 'rolle', 'tiramis', 'cbt', 'of', 'ojo', 'in', 'carnaroli', 'sue', 'ripieno', 'eggs', 'roll', 'lattuga', 'green', 'parsley', 'cannolicchi', 'nero', 'parmigiano', 'roma', 'gnocchi', 'al', 'marinate', 'bianco', 'pinacolada', 'made', 'porro', 'fatto', 'and', 'bruciata', 'caviale', 'cheek', 'lamponi', 'salato', 'grilled', 'albume', 'basil', 'buffalo', 'bottoni', 'un', 'lampone', 'osmosis', 'se', 'truffle', 'spuma', 'sauce', 'on', 'bavarese', 'sak', 'ripiena', 'il', 'sotto', 'pomodori', 'vinaigrette', 'fragole', 'mint', 'sabaudia', 'chips', 'rossa', 'candied', 'tomato', 'cocoa', 'tuorlo', 'morbido', 'casa', 'sardo', 'rye', 'cetrioli', 'e', 'nel', 'cozze', 'coconut', 'stracciatella', 'caprino', 'fermentati', 'stuffed', 'cheese', 'bread', 'pork', 'seppia', 'carpaccio', 'caramello', 'cocco', 'marinated', 'yolk', 'meringa', 'scampi', 'pere', 'pineapple', 'lapsang', 'tortello', 'fava', 'gelato', 'almond', 'salmone', 'uovo', 'vanilla', 'guanciale', 'cappero', 'dry', 'alla', 'cipolle', 'zafferano', 'ricci', 'roasted', 'bisquit', 'tokyo', 'pickles', 'chicken', 'vaniglia', 'veggiemaki', 'mayo', 'beetroot', 'fosse', 'patate', 'salsa', 'clorofillamis', 'strawberries', 'with', 'mussels', 'capers', 'caviar', 'basilico', 'meringue', 'crumble', 'ripieni', 'cherry', 'sea', 'guava', 'giallo', 'con', 'jus', 'risotto', 'scapece', 'soft', 'ostriche', 'sandwich', 'razor', 'carbonara', 'pastrami', 'potatoes', 'pane', 'temperature', 'corn', 'scaglie', 'zucchine', 'fondo', 'marinato', 'terrine', 'mousee', 'mentuccia', 'mandorla', 'the', 'yellow', 'frache', 'peperoni', 'served', 'cheesecake', 'rombo', 'manzo', 'fritto', 'mousse', 'da', 'ginger', 'tartelletta', 'polpo', 'goat', 'ice', 'radish', 'di', 'limone', 'vinegar', 'light', 'cacio', 'salmon', 'cuttlefish', 'clams', 'crumbs', 'terrina', 'saffron', 'pecorino', 'loro', 'segale', 'ponzu', 'raw', 'shrimps', 'linguina', 'millefoglie', 'fillet', 'rice', 'ajoojo', 'beef', 'glazed', 'red', 'cooked', 'piselli', 'chutney', 'caramel', 'bufala', 'maiale', 'raviolo', 'millefeuille', 'trippa', 'laver', 'cioccolato', 'terra', 'tea', 'ai', 'panico', 'pop', 'latte', 'mustard', 'zucchini', 'split', 'urchins', 'ananas', 'uova', 'tart', 'mare', 'pomodoro', 'foam', 'crema', 'suo', 'fermented', 'a', 'ravanelli', 'picanha', 'prezzemolo', 'beans', 'pollo', 'gele', 'salted', 'filetto']"
Malaterra | Piazza Bologna,4,30 € ou moins,Pizzéria,[]
Anima,4.7,51 € et plus,Italienne,"['fruits', 'still', 'chamomille', 'sugar', 'reduction', 'yogurt', 'style', 'apple', 'pastry', 'earl', 'breakfast', 'macchiato', 'is', 'onion', 'lime', 'any', 'hazelnuts', 'tomatoes', 'porridge', 'chocolate', 'italian', 'leaves', 'french', 'sesonal', 'stracchino', 'crme', 'rosemary', 'amam', 'fraiche', 'cucumber', 'caff', 'fried', 'grey', 'smoked', 'crispy', 'cream', 'experience', 'homemade', 'fennel', 'infusion', 'coffee', 'honey', 'cappuccino', 'milk', 'herbal', 'join', 'herbs', 'flowers', 'daily', 'peppermint', 'of', 'flakes', 'top', 'eggs', 'grapefruit', 'green', 'freshly', 'unlimited', 'toast', 'from', 'local', 'and', 'selection', 'cheek', 'oat', 'sliced', 'vegetarian', 'berries', 'grilled', 'basil', 'buffalo', 'sauce', 'scrambled', 'pumpkin', 'sweet', 'mint', 'cuts', 'greens', 'dill', 'every', 'tomato', 'rocket', 'brown', 'chefs', 'spinach', 'pressed', 'be', 'cold', 'pork', 'coffees', 'cheese', 'raschera', 'bread', 'maple', 'bassiano', 'marinated', 'seeds', 'scamorza', 'assam', 'mixed', 'sparkling', 'ordinary', 'roasted', 'powdered', 'care', 'bologna', 'citrus', 'dried', 'ricotta', 'cinnamon', 'day', 'steamed', 'with', 'salad', 'fresh', 'americano', 'that', 'blueberries', 'avocado', 'for', 'espresso', 'acacia', 'potatoes', 'to', 'pancakes', 'vegetables', 'jasmine', 'choose', 'evo', 'edible', 'the', 'orange', 'us', 'sauted', 'seasonal', 'water', 'transcends', 'month', 'butter', 'mozzarella', 'dish', 'syrup', 'our', 'omelette', 'oil', 'morning', 'radish', 'vinegar', 'double', 'salmon', 'or', 'croissant', 'prosciutto', 'almonds', 'crafted', 'royale', 'juice', 'includes', 'basket', 'parmesan', 'mushroom', 'whipped', 'tea', 'celery', 'delightful', 'balsamic', 'granola', 'latte', 'zucchini', 'ham', 'chives', 'perfect', 'menu', 'anima', 'barnaise', 'start', 'your', 'aged', 'blueberry', 'a', 'choice', 'juices', 'hot', 'ensure']"
