Restaurant_Name,Ranking,Global_Ranking,Plats_Ranking,Service_Ranking,Atmosphere_Ranking,Text
Café de l'Homme,5.0,5,5,5,5,"The dinner was a private, romantic birthday dinner for my wife and the staff and the food did not disappoint. Cozy table by the window overlooking the Eiffel Tower was awesome! Waiter was excellent and also volunteered to be our photographer. Food was delicious. My wife love it!"
Café de l'Homme,5.0,5,5,5,5,Great place for food and drinks . Staff are super friendly. Amazing time !!! Thank you
Café de l'Homme,2.0,2,2,2,2,"Llegamos y la cocina estaba cerrada y nos sacaron a las 2 horas
Precio calidad no se justifica"
Café de l'Homme,3.0,3,3,2,4,"The food and service were both okay. The view of the Eiffel Tower was amazing. All went well throughout our experience until the end when our server brought our check to us. Upon handing over the bill, he knelt down to interrupt our conversation and told my husband and I “this is the bill and it is customary to add a ten to twenty percent tip onto this total.” It became very awkward and this point and we politely said “okay” and continued our conversation at the table. He then interuppted us again and asked “so do you want to add a tip?”. My husband looked up and said “No. I do not.” The waiter then announced for the table to hear “ok, no tip for this time”, typed in the final total on his hand held device and hastily handed over the receipt after it printed out. For a restaurant that charges on average $70 per person to eat there, this should not have happened. We felt singled out because we were American. Would this waiter have walked up to a table full of French people and requested a tip? I think not, since it is NOT customary to tip in France. Would not recommend this restaurant if you’re American."
Café de l'Homme,5.0,5,5,5,5,This place is magic! Food is outstanding and the staff are fantastic. To top it off you have the most gorgeous view of the Eiffel Tower.
Café de l'Homme,5.0,5,5,5,5,"Great place to eat, staff where amazing to us, the food was delicious and the atmosphere was amazing."
Café de l'Homme,5.0,5,3,5,5,The cafe offers a superb view of the Eiffel Tower. I booked a table for 3 pm and was disappointed as the kitchen closed at that time. We had dessert and drinks which was a satisfactory compromise. I have a magnificent photograph of my daughter and I beside the Iron Lady so I will cherish that. 🩷
Café de l'Homme,5.0,5,5,5,5,"Excelente, comida, servicio, lugar, la vista !!! Todo muy bien. Costo? Considero un poco alto pero por el lugar,  la vista y calidad de los alimentos , lo amerita."
Café de l'Homme,5.0,5,5,5,5,"The staff was phenomenal — friendly, welcoming and went out of their way to make us feel at home! The food was delicious and filling! We had a wonderful time in the shadow of the Eiffel Tower!"
Café de l'Homme,5.0,5,5,5,5,"Ha sido una experiencia increíble ha superado todas mis expectativas, la comida es maravillosa el servicio de parte de los camareros y recepción no podía ser mejor, el equilibrio calidad/ precio puedo decir que también está bien porque es una experiencia más interesante."
Café de l'Homme,5.0,5,5,5,4,"Incredible staff, fantastic service and views sat outside on the terrace. They even offered to heat up our pasta!"
Café de l'Homme,5.0,5,5,5,5,"Amazing food, superb view, excellent service. Absolutely would recommend! Skip the steak. Everything else is good."
Café de l'Homme,1.0,1,1,1,1,We arrived at the restaurant to be told that they had no knowledge of our booking and they were closed for a private party!
Café de l'Homme,5.0,5,5,5,5,Tout était bon comme d’habitude . C’est toujours une bonne idée avec la magnifique vue
Café de l'Homme,5.0,5,5,5,5,Excellent views of the Eiffel Tower. Staff were extremely polite. Cuisine was marvellous.
Café de l'Homme,5.0,5,5,5,5,"Perfect location for a view of the eiffel tower from inside the restuaeant, on the patio or outside while you wait for your reso. Ambience inside is romantic. Patio outside is superb. Also place outside to view eiffel head on."
Café de l'Homme,1.0,1,1,1,1,"We were absolutely appalled when we arrived after an hour commute to the restaurant to be told or rather shouted at by two extremely rude security men that the restaurant was closed for a private function. They told us there was no manager working that we could speak to which could simply not be true. So at 9:30pm we were left with no restaurant to eat, even after going to the trouble of ringing the restaurant during the day to ask if there was a table which we were told there was, and then booking through open table as advised by the restaurant. What only heightened our disgust and dissatisfaction was the manner in which we were spoken to be security with one shouting at us “I will smash your face” . All of which was recorded on video. Overall a terrible experience and one I will most definitely share with others planning a trip to Paris."
Café de l'Homme,1.0,1,1,1,1,Seated inside. $50 per person to sit outside. Found out when we arrived. Truffle fries were soggy drenched in oil. Drink glasses smelled horrible.
Café de l'Homme,3.0,3,5,4,4,"Beautiful location, good food and vibes overall. We danced until they closed in front of the eiffel tower. What a treat! However was disappointed that the eiffel tower lights turned off 5 minutes after we sat down and that was the main thing we paid for. Apparently it closed an hour early in honor of the Israel, which is understandable and respectable, and something the restaurant doesn’t have control over.

Another issue- we almost weren’t allowed in due to “dress code”. We were dressed nicely, nothing over the top fancy but we were wearing a long gold skirt and a black dress, no reason to get dress coded at a restaurant. Eventually he let us in after I already told him I paid $100 on opentable to just sit at the restaurant. (We paid another $180 for our meal)

Anyway, it was a great experience overall and I can’t complain too much. The staff was super cool other than the bouncer guy. But the experience could have been better due to the things i mentioned."
Café de l'Homme,5.0,5,5,5,5,This place was excellent especially for a last minute reservation since my original plans were canceled!
Café de l'Homme,5.0,5,5,5,5,Very tasty cuisine with a fantastic view. Thank you to American Express for helping me book.
Café de l'Homme,5.0,5,5,5,5,"Really nice, great view of the Eiffel Tower. Good food"
Café de l'Homme,5.0,5,5,5,5,le service est parfait et nous avions bien diner avec une belle vue
Café de l'Homme,5.0,5,5,5,5,Excelente la ubicación la comida la atención el precio caro pero lo vale es la segunda vez que voy
